state,x,y
Andhra Pradesh,-82,-178
Arunachal Pradesh,301,145
Assam,197,92
Bihar,83,89
Chhattisgarh,-30,-41
Goa,-231,-193
Gujarat,-264,-5
Haryana,-159,178
Himachal Pradesh,-132,245
Jharkhand,60,29
Karnataka,-200,-200
Kerala,-155,-320
Madhya Pradesh,-82,38
Maharashtra,-250,-110
Manipur,272,57
Meghalaya,209,80
Mizoram,248,18
Nagaland,289,95
Odisha,43,-63
Punjab,-175,224
Rajasthan,-219,107
Sikkim,140,133
Tamil Nadu,-107,-312
Telangana,-115,-125
Tripura,221,32
Uttar Pradesh,-48,121
Uttarakhand,-85,199
West Bengal,131,48
